Code,FULL,State,GEOID10,Size
"02","Aleutians East, AK","02","02013",county
"02","Aleutians West, AK","02","02016",county
"28","Panola, MS","28","28107",county
"28","Newton, MS","28","28101",county
"28","Coahoma, MS","28","28027",county
"22","Madison, LA","22","22065",county
"51","Charlottesville, VA","51","51540",county
"51","Alexandria, VA","51","51510",county
"51","Buena Vista, VA","51","51530",county
"51","Fairfax, VA","51","51600",county
"48","Dallas, TX","48","48113",county
"48","Howard, TX","48","48227",county
"48","Foard, TX","48","48155",county
"48","Floyd, TX","48","48153",county
"48","Brewster, TX","48","48043",county
"48","Franklin, TX","48","48159",county
"48","Hunt, TX","48","48231",county
"48","Newton, TX","48","48351",county
"48","Starr, TX","48","48427",county
"48","Kinney, TX","48","48271",county
"48","Collingsworth, TX","48","48087",county
"48","Tom Green, TX","48","48451",county
"48","Coleman, TX","48","48083",county
"48","Brazoria, TX","48","48039",county
"48","Leon, TX","48","48289",county
"48","Duval, TX","48","48131",county
"48","Lamb, TX","48","48279",county
"48","Morris, TX","48","48343",county
"48","Smith, TX","48","48423",county
"48","Jackson, TX","48","48239",county
"48","Medina, TX","48","48325",county
"48","Wheeler, TX","48","48483",county
"48","Dallam, TX","48","48111",county
"48","Callahan, TX","48","48059",county
"48","Lamar, TX","48","48277",county
"48","Coryell, TX","48","48099",county
"48","Gaines, TX","48","48165",county
"48","Kendall, TX","48","48259",county
"48","Nacogdoches, TX","48","48347",county
"48","Milam, TX","48","48331",county
"48","Hays, TX","48","48209",county
"48","Willacy, TX","48","48489",county
"34","Hudson, NJ","34","34017",county
"34","Cumberland, NJ","34","34011",county
"23","Penobscot, ME","23","23019",county
"50","Essex, VT","50","50009",county
"50","Franklin, VT","50","50011",county
"56","Albany, WY","56","56001",county
"56","Goshen, WY","56","56015",county
"56","Weston, WY","56","56045",county
"56","Hot Springs, WY","56","56017",county
"56","Teton, WY","56","56039",county
"56","Big Horn, WY","56","56003",county
"56","Niobrara, WY","56","56027",county
"56","Sheridan, WY","56","56033",county
"56","Washakie, WY","56","56043",county
"56","Campbell, WY","56","56005",county
"56","Natrona, WY","56","56025",county
"50","Caledonia, VT","50","50005",county
"56","Platte, WY","56","56031",county
"56","Converse, WY","56","56009",county
"56","Crook, WY","56","56011",county
"50","Addison, VT","50","50001",county
"56","Johnson, WY","56","56019",county
"56","Laramie, WY","56","56021",county
"50","Rutland, VT","50","50021",county
"50","Windham, VT","50","50025",county
"56","Park, WY","56","56029",county
"50","Windsor, VT","50","50027",county
"50","Washington, VT","50","50023",county
"50","Grand Isle, VT","50","50013",county
"50","Lamoille, VT","50","50015",county
"29","Jefferson, MO","29","29099",county
"29","Grundy, MO","29","29079",county
"29","St. Louis, MO","29","29510",county
"29","Iron, MO","29","29093",county
"29","St. Clair, MO","29","29185",county
"29","Cass, MO","29","29037",county
"29","Wright, MO","29","29229",county
"29","Ozark, MO","29","29153",county
"29","Henry, MO","29","29083",county
"17","Brown, IL","17","17009",county
"17","Crawford, IL","17","17033",county
"17","Jo Daviess, IL","17","17085",county
"17","Hamilton, IL","17","17065",county
"17","McDonough, IL","17","17109",county
"17","Montgomery, IL","17","17135",county
"17","Douglas, IL","17","17041",county
"17","Union, IL","17","17181",county
"17","Macon, IL","17","17115",county
"17","Winnebago, IL","17","17201",county
"17","Monroe, IL","17","17133",county
"17","Menard, IL","17","17129",county
"17","Jersey, IL","17","17083",county
"17","Scott, IL","17","17171",county
"17","Mercer, IL","17","17131",county
"17","Edwards, IL","17","17047",county
"17","Cumberland, IL","17","17035",county
"17","Will, IL","17","17197",county
"06","Orange, CA","06","06059",county
"06","Tehama, CA","06","06103",county
"06","Colusa, CA","06","06011",county
"06","Santa Barbara, CA","06","06083",county
"06","Mono, CA","06","06051",county
"06","Monterey, CA","06","06053",county
"49","Box Elder, UT","49","49003",county
"06","Placer, CA","06","06061",county
"06","Amador, CA","06","06005",county
"06","Calaveras, CA","06","06009",county
"06","Imperial, CA","06","06025",county
"37","Franklin, NC","37","37069",county
"37","Carteret, NC","37","37031",county
"37","Davidson, NC","37","37057",county
"42","Cambria, PA","42","42021",county
"37","Sampson, NC","37","37163",county
"37","Johnston, NC","37","37101",county
"37","Caldwell, NC","37","37027",county
"42","Allegheny, PA","42","42003",county
"37","Richmond, NC","37","37153",county
"37","Montgomery, NC","37","37123",county
"37","Union, NC","37","37179",county
"37","Cumberland, NC","37","37051",county
"42","Adams, PA","42","42001",county
"42","Huntingdon, PA","42","42061",county
"37","Burke, NC","37","37023",county
"37","Iredell, NC","37","37097",county
"37","Durham, NC","37","37063",county
"42","Crawford, PA","42","42039",county
"42","Delaware, PA","42","42045",county
"37","Greene, NC","37","37079",county
"42","Clinton, PA","42","42035",county
"37","Perquimans, NC","37","37143",county
"37","Halifax, NC","37","37083",county
"37","Chatham, NC","37","37037",county
"37","Surry, NC","37","37171",county
"42","Lawrence, PA","42","42073",county
"42","Montour, PA","42","42093",county
"37","Robeson, NC","37","37155",county
"37","Mitchell, NC","37","37121",county
"42","Tioga, PA","42","42117",county
"42","Bedford, PA","42","42009",county
"37","Beaufort, NC","37","37013",county
"42","Monroe, PA","42","42089",county
"42","Wyoming, PA","42","42131",county
"37","Nash, NC","37","37127",county
"42","McKean, PA","42","42083",county
"42","York, PA","42","42133",county
"42","Erie, PA","42","42049",county
"37","Forsyth, NC","37","37067",county
"42","Fayette, PA","42","42051",county
"42","Perry, PA","42","42099",county
"42","Mercer, PA","42","42085",county
"42","Clearfield, PA","42","42033",county
"39","Franklin, OH","39","39049",county
"37","Lenoir, NC","37","37107",county
"42","Columbia, PA","42","42037",county
"42","Greene, PA","42","42059",county
"42","Forest, PA","42","42053",county
"37","Mecklenburg, NC","37","37119",county
"37","Henderson, NC","37","37089",county
"37","Guilford, NC","37","37081",county
"42","Bucks, PA","42","42017",county
"36","Madison, NY","36","36053",county
"42","Berks, PA","42","42011",county
"02","Southeast Fairbanks, AK","02","02240",county
"02","Dillingham, AK","02","02070",county
"02","Lake and Peninsula, AK","02","02164",county
"02","North Slope, AK","02","02185",county
"02","Hoonah-Angoon, AK","02","02105",county
"02","Kodiak Island, AK","02","02150",county
"02","Skagway, AK","02","02230",county
"02","Northwest Arctic, AK","02","02188",county
"02","Ketchikan Gateway, AK","02","02130",county
"02","Wade Hampton, AK","02","02270",county
"28","Union, MS","28","28145",county
"28","Humphreys, MS","28","28053",county
"28","Tishomingo, MS","28","28141",county
"28","Lowndes, MS","28","28087",county
"22","St. Charles, LA","22","22089",county
"22","Ouachita, LA","22","22073",county
"22","Assumption, LA","22","22007",county
"22","Claiborne, LA","22","22027",county
"22","Calcasieu, LA","22","22019",county
"22","Acadia, LA","22","22001",county
"22","Rapides, LA","22","22079",county
"22","Winn, LA","22","22127",county
"22","Caldwell, LA","22","22021",county
"22","Concordia, LA","22","22029",county
"51","Falls Church, VA","51","51610",county
"51","Tazewell, VA","51","51185",county
"51","Manassas, VA","51","51683",county
"51","Waynesboro, VA","51","51820",county
"51","Staunton, VA","51","51790",county
